epoch,train_loss,val_loss,val_frame_acc,val_frame_bal_acc,val_burst_acc,val_burst_bal_acc,val_burst_tp,val_burst_fp,val_burst_fn,val_burst_tn,lr,secs,backbone_frozen
1,0.6889,0.5946,0.752,0.805,0.795,0.845,15,9,0,20,0.001000,7.0,1
2,0.6092,0.5113,0.887,0.903,0.955,0.966,15,2,0,27,0.001000,1.4,1
3,0.5491,0.4689,0.893,0.891,0.977,0.983,15,1,0,28,0.001000,1.4,1
4,0.4840,0.4490,0.896,0.895,0.977,0.983,15,1,0,28,0.001000,1.4,1
5,0.5057,0.4181,0.893,0.889,0.977,0.983,15,1,0,28,0.001000,1.4,1
6,0.3795,0.3433,0.912,0.914,0.977,0.983,15,1,0,28,0.000099,4.8,0
7,0.2800,0.2758,0.925,0.934,1.000,1.000,15,0,0,29,0.000096,2.7,0
8,0.3185,0.2400,0.912,0.926,0.977,0.983,15,1,0,28,0.000090,2.7,0
9,0.1702,0.2052,0.931,0.941,0.977,0.983,15,1,0,28,0.000083,2.7,0
10,0.1658,0.1673,0.940,0.946,0.977,0.983,15,1,0,28,0.000075,2.7,0
11,0.1726,0.1435,0.959,0.964,1.000,1.000,15,0,0,29,0.000065,2.7,0
12,0.3084,0.1048,0.975,0.974,1.000,1.000,15,0,0,29,0.000055,2.7,0
13,0.1848,0.1064,0.965,0.969,1.000,1.000,15,0,0,29,0.000045,2.7,0
14,0.0987,0.0948,0.975,0.976,1.000,1.000,15,0,0,29,0.000035,2.7,0
15,0.0841,0.0957,0.975,0.976,1.000,1.000,15,0,0,29,0.000025,2.7,0
16,0.0983,0.0952,0.972,0.974,1.000,1.000,15,0,0,29,0.000017,2.7,0
17,0.0509,0.1004,0.972,0.974,1.000,1.000,15,0,0,29,0.000010,2.7,0
18,0.0832,0.0964,0.972,0.974,1.000,1.000,15,0,0,29,0.000004,2.7,0
19,0.2299,0.0955,0.972,0.974,1.000,1.000,15,0,0,29,0.000001,2.7,0
20,0.1616,0.0999,0.972,0.974,1.000,1.000,15,0,0,29,0.000000,2.7,0
