epoch,train_loss,prey_loss,cat_loss,val_loss,val_prec,val_rec,val_f1,val_cat_acc,lr,secs,backbone_frozen
1,2.3857,2.1743,0.7049,1.2912,0.042,0.950,0.080,0.613,0.000100,27.1,1
2,1.7209,1.5324,0.6284,1.1746,0.060,0.950,0.113,0.625,0.000100,19.3,1
3,1.5108,1.3333,0.5919,1.0331,0.071,0.950,0.132,0.625,0.000099,20.2,1
4,1.4160,1.2481,0.5594,1.0692,0.072,0.950,0.134,0.629,0.000099,22.1,1
5,1.3516,1.1909,0.5355,1.1404,0.072,0.950,0.133,0.633,0.000098,23.5,1
6,1.3330,1.1766,0.5214,1.0738,0.077,0.950,0.142,0.625,0.000098,25.1,1
7,1.2651,1.1162,0.4966,1.2437,0.071,0.950,0.132,0.667,0.000097,29.0,1
8,1.3165,1.1725,0.4801,1.1395,0.076,0.950,0.141,0.671,0.000096,30.5,1
9,1.2340,1.0946,0.4645,1.1266,0.078,0.950,0.144,0.683,0.000095,30.1,1
10,1.2116,1.0740,0.4586,1.2020,0.075,0.950,0.139,0.642,0.000093,30.4,1
11,1.0123,0.8905,0.4061,0.9229,0.129,0.600,0.212,0.662,0.000092,88.7,0
12,0.7171,0.6202,0.3230,1.0408,0.144,0.650,0.236,0.783,0.000090,92.0,0
13,0.5405,0.4622,0.2610,1.5544,0.175,0.550,0.265,0.833,0.000089,82.4,0
14,0.4283,0.3648,0.2116,1.3949,0.207,0.600,0.308,0.858,0.000087,78.8,0
15,0.3670,0.3113,0.1859,2.1419,0.262,0.550,0.355,0.842,0.000085,82.3,0
16,0.3707,0.3275,0.1440,1.3393,0.169,0.600,0.264,0.883,0.000083,85.4,0
17,0.3031,0.2569,0.1541,1.9381,0.229,0.550,0.324,0.883,0.000081,92.7,0
18,0.2481,0.2151,0.1100,2.3572,0.250,0.550,0.344,0.900,0.000079,88.9,0
19,0.2405,0.2088,0.1055,2.6541,0.306,0.550,0.393,0.871,0.000077,89.9,0
20,0.2662,0.2359,0.1008,2.6540,0.270,0.500,0.351,0.871,0.000075,83.3,0
21,0.1881,0.1613,0.0894,3.3938,0.278,0.500,0.357,0.887,0.000073,86.2,0
22,0.2768,0.2569,0.0663,3.3582,0.345,0.500,0.408,0.867,0.000070,90.0,0
23,0.1717,0.1506,0.0702,2.5774,0.286,0.500,0.364,0.892,0.000068,88.0,0
24,0.1412,0.1199,0.0711,2.5977,0.312,0.500,0.385,0.871,0.000065,82.3,0
25,0.1650,0.1451,0.0664,2.5859,0.250,0.500,0.333,0.879,0.000063,80.9,0
26,0.0918,0.0748,0.0565,3.0031,0.370,0.500,0.426,0.883,0.000038,59.6,0
27,0.1251,0.1087,0.0545,3.5722,0.370,0.500,0.426,0.904,0.000036,54.7,0
28,0.1961,0.1796,0.0550,3.3235,0.385,0.500,0.435,0.879,0.000035,81.6,0
29,0.1588,0.1466,0.0404,2.9617,0.323,0.500,0.392,0.921,0.000033,86.9,0
30,0.1476,0.1351,0.0415,3.4424,0.278,0.500,0.357,0.900,0.000031,87.9,0
31,0.1036,0.0881,0.0515,3.5414,0.294,0.500,0.370,0.896,0.000030,103.9,0
32,0.1395,0.1233,0.0538,3.8840,0.333,0.500,0.400,0.900,0.000028,88.9,0
33,0.1376,0.1233,0.0478,3.9370,0.303,0.500,0.377,0.921,0.000027,83.9,0
34,0.1482,0.1352,0.0432,3.9334,0.455,0.500,0.476,0.900,0.000025,91.1,0
35,0.1593,0.1465,0.0426,3.6155,0.312,0.500,0.385,0.904,0.000023,99.0,0
36,0.1700,0.1577,0.0410,4.0863,0.417,0.500,0.455,0.896,0.000022,98.3,0
37,0.1547,0.1435,0.0373,3.7085,0.286,0.500,0.364,0.921,0.000020,83.6,0
38,0.0699,0.0557,0.0474,4.2901,0.312,0.500,0.385,0.900,0.000019,81.9,0
39,0.1051,0.0933,0.0394,3.9089,0.345,0.500,0.408,0.908,0.000017,94.6,0
40,0.0759,0.0665,0.0314,4.1843,0.294,0.500,0.370,0.908,0.000016,647.9,0
41,0.1689,0.1582,0.0358,4.2111,0.333,0.500,0.400,0.900,0.000014,630.1,0
42,0.1041,0.0909,0.0440,4.1383,0.333,0.500,0.400,0.904,0.000013,2891.8,0
43,0.2339,0.2238,0.0338,3.9838,0.312,0.500,0.385,0.892,0.000012,2069.9,0
44,0.1608,0.1482,0.0421,4.1080,0.312,0.500,0.385,0.904,0.000010,2081.2,0
45,0.1052,0.0954,0.0327,4.0246,0.345,0.500,0.408,0.904,0.000009,2080.2,0
46,0.1434,0.1325,0.0365,3.8810,0.345,0.500,0.408,0.900,0.000008,2189.5,0
