burst_id,frame_idx,in_x,in_s
20260429_195637_gen1,0,1,0
20260430_014310_gen4,2,0,1
20260430_025823_gen1,1,1,0
20260430_025823_gen1,2,1,0
20260430_025823_gen1,4,1,0
20260430_044430_gen2,0,1,0
20260430_044430_gen2,1,0,1
20260430_075151_gen3,9,1,0
20260430_095312_gen1,0,1,0
20260430_175945_gen1,4,1,0
20260430_175945_gen1,7,1,0
20260430_175945_gen1,8,1,0
20260430_182502_gen2,7,0,1
20260430_182502_gen2,8,0,1
20260430_193929_gen29,0,1,0
20260501_003731_gen2,2,1,0
20260501_003731_gen2,6,1,0
20260501_015148_gen1,0,1,0
20260501_015148_gen1,5,1,0
20260501_020310_gen2,0,1,0
20260501_020310_gen2,1,1,0
20260501_020310_gen2,4,1,0
20260501_044907_gen1,9,1,0
20260501_045009_gen2,1,1,0
20260501_190332_gen1,0,1,0
20260501_190332_gen1,2,0,1
20260501_190332_gen1,5,1,0
20260501_190332_gen1,7,1,0
20260501_190332_gen1,8,1,0
20260501_190332_gen1,9,1,0
20260501_201612_gen3,0,1,0
20260501_201612_gen3,1,1,0
20260501_224743_gen2,9,1,0
20260502_014312_gen1,0,1,0
20260502_054254_gen3,1,1,0
20260502_063343_gen1,5,1,0
20260502_063343_gen1,6,1,0
20260502_063343_gen1,7,1,0
20260502_173313_gen1,6,0,1
20260502_173313_gen1,8,1,0
20260502_174947_gen2,2,0,1
20260502_200312_gen16,0,1,0
20260502_200312_gen16,3,1,0
20260502_200312_gen16,4,1,0
20260502_200312_gen16,5,1,0
20260502_200442_gen17,0,1,0
20260502_200442_gen17,1,1,0
20260502_200442_gen17,3,1,0
20260502_201103_gen18,0,1,0
20260502_201103_gen18,4,1,0
20260502_203647_gen1,2,1,0
20260502_203647_gen1,3,1,0
20260502_203647_gen1,4,1,0
20260502_203647_gen1,5,1,0
20260502_203647_gen1,9,1,0
20260502_214455_gen3,0,0,1
20260502_214455_gen3,2,0,1
20260502_214455_gen3,5,1,0
20260502_232305_gen1,2,1,0
20260502_232305_gen1,5,1,0
20260503_021439_gen1,1,1,0
20260503_021439_gen1,5,1,0
20260503_041546_gen2,7,1,0
20260503_062916_gen3,1,0,1
20260503_062916_gen3,3,0,1
20260503_062916_gen3,4,0,1
20260503_065045_gen4,3,0,1
20260503_065045_gen4,4,0,1
20260503_065045_gen4,5,0,1
20260503_065045_gen4,6,0,1
20260503_065045_gen4,8,0,1
20260503_070044_gen6,0,0,1
20260503_070044_gen6,3,0,1
20260503_070044_gen6,4,1,0
20260503_070044_gen6,8,1,0
20260503_071153_gen7,7,1,0
20260503_071153_gen7,9,1,0
20260503_122213_gen2,0,0,1
20260503_172616_gen1,1,1,0
20260503_172616_gen1,2,1,0
20260503_172616_gen1,3,1,0
20260503_172616_gen1,9,0,1
20260503_180716_gen3,3,0,1
20260503_180716_gen3,8,1,0
20260503_180716_gen3,9,1,0
20260503_181708_gen4,1,1,0
20260503_181708_gen4,2,1,0
20260503_181708_gen4,3,1,0
20260503_181708_gen4,4,1,0
20260503_181708_gen4,7,1,0
20260503_185705_gen6,0,0,1
20260503_185705_gen6,2,0,1
20260503_185705_gen6,5,0,1
20260503_210505_gen1,1,1,0
20260504_013527_gen5,0,1,0
20260504_013527_gen5,3,1,0
20260504_014822_gen6,3,1,0
20260504_014822_gen6,4,1,0
20260504_014822_gen6,5,0,1
20260504_014822_gen6,7,1,0
20260504_015516_gen7,7,1,0
20260504_020915_gen9,1,1,0
20260504_020915_gen9,5,1,0
20260504_021353_gen10,1,1,0
20260504_021353_gen10,8,1,0
20260504_050730_gen1,1,0,1
20260504_050730_gen1,2,0,1
20260504_050730_gen1,5,0,1
20260504_050730_gen1,8,1,0
20260504_050730_gen1,9,1,0
20260504_051349_gen2,1,1,0
20260504_051349_gen2,4,1,0
20260504_051349_gen2,5,0,1
20260504_052832_gen1,8,1,0
20260504_054207_gen2,3,1,0
20260504_054207_gen2,4,1,0
20260504_072359_gen1,1,1,0
20260504_072359_gen1,2,1,0
20260504_072359_gen1,3,1,0
20260504_072359_gen1,6,0,1
20260504_193135_gen1,1,1,0
20260504_193135_gen1,3,1,0
20260504_193135_gen1,4,1,0
20260504_193806_gen2,4,1,0
20260504_193806_gen2,5,1,0
20260504_193806_gen2,6,1,0
20260504_234213_gen1,9,1,0
20260505_005540_gen1,0,1,0
20260505_012501_gen2,1,1,0
20260505_012501_gen2,4,1,0
20260505_025335_gen1,5,1,0
20260505_031927_gen2,2,1,0
20260505_031927_gen2,3,1,0
20260505_071844_gen2,5,1,0
20260505_071844_gen2,6,1,0
20260505_071921_gen3,5,1,0
20260505_071921_gen3,7,1,0
20260505_071921_gen3,9,0,1
20260505_072122_gen4,2,1,0
20260505_072122_gen4,3,1,0
20260505_072122_gen4,6,1,0
20260505_072122_gen4,7,1,0
20260505_073140_gen6,0,1,0
20260505_110523_gen8,0,1,0
20260505_174210_gen1,1,1,0
20260505_174210_gen1,2,1,0
20260505_174210_gen1,3,1,0
20260505_174210_gen1,4,1,0
20260505_174210_gen1,5,1,0
20260505_174210_gen1,7,1,0
20260505_191144_gen2,1,1,0
20260505_191144_gen2,3,1,0
20260505_191144_gen2,4,1,0
20260505_194219_gen3,5,0,1
20260505_194219_gen3,6,0,1
20260505_194219_gen3,7,0,1
20260505_194219_gen3,9,1,0
20260505_195825_gen4,8,1,0
20260505_201426_gen5,5,0,1
20260505_201426_gen5,6,0,1
