burst_id,split,cat_id,direction,y,x_score,x_pred,x_nframes,x_prey_count,s_score,s_pred,s_nframes,s_prey_count
20260429_195637_gen1,train,mazge,entering,0,0.1208,0,10,0,0.142,0,9,0
20260429_200742_gen2,train,mazge,entering,0,0.0506,0,10,0,0.0425,0,10,0
20260429_205808_gen1,train,,exiting,0,0.167,0,10,1,0.176,0,10,1
20260430_011454_gen2,train,mazge,entering,0,0.0826,0,10,0,0.0697,0,10,0
20260430_011516_gen3,train,mazge,entering,0,0.2647,0,10,1,0.4413,1,10,2
20260430_014310_gen4,train,,exiting,0,0.0482,0,2,0,0.121,0,3,1
20260430_025823_gen1,train,,exiting,0,0.0206,0,9,0,0.0253,0,6,0
20260430_044430_gen2,train,mazge,entering,0,0.098,0,6,0,0.082,0,6,0
20260430_075151_gen3,train,benis,entering,0,0.0581,0,10,0,0.0423,0,9,0
20260430_095312_gen1,train,,exiting,0,0.154,0,6,0,0.1277,0,5,0
20260430_175945_gen1,train,,exiting,0,0.2232,0,9,1,0.1729,0,6,1
20260430_182502_gen2,train,benis,entering,0,0.0284,0,7,0,0.0224,0,9,0
20260430_193929_gen29,train,mazge,entering,0,0.1067,0,10,0,0.1774,0,9,0
20260430_194454_gen30,test,,exiting,0,0.0799,0,10,0,0.0646,0,10,0
20260430_233332_gen1,train,mazge,entering,0,0.0657,0,10,0,0.1468,0,10,0
20260501_003731_gen2,train,,exiting,0,0.0403,0,10,0,0.0275,0,8,0
20260501_015148_gen1,train,mazge,entering,1,0.7788,1,10,9,0.7737,1,8,6
20260501_020310_gen2,val,,exiting,0,0.056,0,10,0,0.0481,0,7,0
20260501_044907_gen1,train,,exiting,0,0.0849,0,4,0,0.0843,0,3,0
20260501_045009_gen2,train,benis,entering,0,0.0247,0,9,0,0.041,0,8,0
20260501_190332_gen1,train,,exiting,0,0.0417,0,6,0,0.0317,0,2,0
20260501_201612_gen3,train,benis,entering,0,0.0155,0,10,0,0.0116,0,8,0
20260501_224743_gen2,val,,unclear,0,0.1298,0,2,0,0.0637,0,1,0
20260502_014312_gen1,train,,unclear,0,0.1275,0,2,0,0.113,0,1,0
20260502_054254_gen3,train,,unclear,0,0.051,0,6,0,0.0634,0,5,0
20260502_063343_gen1,train,mazge,entering,0,0.0165,0,5,0,0.0154,0,2,0
20260502_173313_gen1,train,,exiting,0,0.0787,0,6,0,0.1094,0,6,0
20260502_174947_gen2,test,mazge,entering,0,0.0396,0,4,0,0.0405,0,5,0
20260502_200312_gen16,train,mazge,entering,0,0.1307,0,9,1,0.1508,0,5,1
20260502_200442_gen17,test,mazge,entering,0,0.2338,0,10,2,0.1486,0,7,0
20260502_201103_gen18,train,,exiting,0,0.044,0,8,0,0.0333,0,6,0
20260502_203647_gen1,train,benis,entering,0,0.259,0,8,2,0.0703,0,3,0
20260502_213913_gen2,train,mazge,entering,0,0.1498,0,10,1,0.0852,0,10,0
20260502_214455_gen3,train,,exiting,0,0.0601,0,7,0,0.0558,0,8,0
20260502_232305_gen1,val,mazge,entering,0,0.5319,1,6,3,0.4621,1,4,2
20260503_021439_gen1,val,,exiting,0,0.0662,0,10,0,0.1307,0,8,0
20260503_041546_gen2,train,mazge,entering,0,0.043,0,9,0,0.0553,0,8,0
20260503_062916_gen3,train,,exiting,0,0.0411,0,1,0,0.0536,0,4,0
20260503_065045_gen4,train,,exiting,0,0.0547,0,3,0,0.0812,0,8,0
20260503_070044_gen6,test,mazge,entering,0,0.0476,0,6,0,0.0622,0,6,0
20260503_071153_gen7,train,,exiting,0,0.0569,0,3,0,0.0326,0,1,0
20260503_075143_gen1,train,mazge,entering,0,0.0409,0,9,0,0.0732,0,9,0
20260503_121808_gen1,val,benis,entering,0,0.0151,0,10,0,0.0273,0,10,0
20260503_122213_gen2,train,,exiting,0,0.0847,0,2,0,0.099,0,3,0
20260503_123726_gen3,train,benis,entering,0,0.0252,0,10,0,0.03,0,10,0
20260503_172616_gen1,train,benis,entering,0,0.0677,0,8,0,0.0324,0,6,0
20260503_180716_gen3,train,mazge,entering,0,0.0617,0,2,0,0.0255,0,1,0
20260503_181708_gen4,test,,exiting,0,0.0613,0,9,0,0.0642,0,4,0
20260503_185705_gen6,train,,exiting,0,0.0277,0,2,0,0.0877,0,5,0
20260503_210505_gen1,train,mazge,entering,0,0.2243,0,8,1,0.1874,0,7,1
20260504_005332_gen2,train,,exiting,0,0.0581,0,10,0,0.0863,0,10,0
20260504_013527_gen5,train,unknown,entering,1,0.6424,1,7,4,0.6052,1,5,4
20260504_014822_gen6,train,,exiting,0,0.1146,0,6,0,0.0468,0,4,0
20260504_015516_gen7,test,,exiting,0,0.0869,0,9,0,0.0903,0,8,0
20260504_020831_gen8,train,,unclear,0,0.1095,0,2,0,0.1616,0,2,0
20260504_020915_gen9,train,mazge,entering,0,0.2205,0,6,1,0.0219,0,4,0
20260504_021353_gen10,train,benis,entering,1,0.782,1,10,10,0.7791,1,8,8
20260504_050730_gen1,train,,exiting,0,0.0493,0,2,0,0.0614,0,3,0
20260504_051349_gen2,train,mazge,entering,0,0.082,0,6,0,0.0561,0,5,0
20260504_052832_gen1,train,benis,entering,0,0.1059,0,10,0,0.1035,0,9,0
20260504_054207_gen2,train,mazge,entering,0,0.0356,0,10,0,0.0258,0,8,0
20260504_072359_gen1,test,,exiting,0,0.0681,0,8,0,0.0669,0,6,0
20260504_173921_gen1,train,mazge,entering,0,0.039,0,3,0,0.0595,0,3,0
20260504_193135_gen1,train,mazge,entering,0,0.4993,1,9,3,0.5769,1,6,5
20260504_193806_gen2,train,,exiting,0,0.0252,0,6,0,0.0229,0,3,0
20260504_234213_gen1,train,,exiting,0,0.0661,0,9,0,0.0555,0,8,0
20260505_005540_gen1,train,mazge,entering,1,0.7542,1,6,5,0.7612,1,5,5
20260505_012501_gen2,train,,exiting,0,0.1036,0,10,0,0.0633,0,8,0
20260505_025335_gen1,train,benis,entering,0,0.0277,0,5,0,0.0187,0,4,0
20260505_031927_gen2,val,mazge,entering,0,0.4947,1,8,2,0.4556,1,6,2
20260505_071844_gen2,train,mazge,entering,0,0.0211,0,5,0,0.0114,0,3,0
20260505_071921_gen3,train,,exiting,0,0.0348,0,4,0,0.0381,0,3,0
20260505_072122_gen4,train,mazge,entering,0,0.1828,0,8,1,0.139,0,4,0
20260505_073140_gen6,train,,exiting,0,0.0773,0,7,0,0.0647,0,6,0
20260505_110523_gen8,train,benis,entering,0,0.0291,0,10,0,0.0379,0,9,0
20260505_174210_gen1,train,,exiting,0,0.0481,0,9,0,0.0557,0,3,0
20260505_191144_gen2,train,mazge,entering,0,0.0954,0,9,0,0.0757,0,6,0
20260505_194219_gen3,train,,exiting,0,0.0357,0,1,0,0.0578,0,3,0
20260505_195825_gen4,train,mazge,entering,0,0.0354,0,4,0,0.0146,0,3,0
