method,threshold,tp,fp,fn,tn,n,precision,recall,f1
prey_max,0.1,5,19,0,20,44,0.20833333333333334,1.0,0.3448275862068966
prey_max,0.15,5,10,0,29,44,0.3333333333333333,1.0,0.5
prey_max,0.2,5,7,0,32,44,0.4166666666666667,1.0,0.5882352941176471
prey_max,0.25,5,4,0,35,44,0.5555555555555556,1.0,0.7142857142857143
prey_max,0.3,5,3,0,36,44,0.625,1.0,0.7692307692307693
prey_max,0.35,5,2,0,37,44,0.7142857142857143,1.0,0.8333333333333333
prey_max,0.4,5,2,0,37,44,0.7142857142857143,1.0,0.8333333333333333
prey_max,0.45,5,2,0,37,44,0.7142857142857143,1.0,0.8333333333333333
prey_max,0.5,5,2,0,37,44,0.7142857142857143,1.0,0.8333333333333333
prey_max,0.55,4,2,1,37,44,0.6666666666666666,0.8,0.7272727272727272
prey_max,0.6,4,2,1,37,44,0.6666666666666666,0.8,0.7272727272727272
prey_max,0.65,4,2,1,37,44,0.6666666666666666,0.8,0.7272727272727272
prey_max,0.7,4,2,1,37,44,0.6666666666666666,0.8,0.7272727272727272
prey_max,0.75,4,1,1,38,44,0.8,0.8,0.8000000000000002
prey_max,0.8,4,0,1,39,44,1.0,0.8,0.888888888888889
prey_max,0.85,4,0,1,39,44,1.0,0.8,0.888888888888889
prey_max,0.9,1,0,4,39,44,1.0,0.2,0.33333333333333337
prey_max,0.95,1,0,4,39,44,1.0,0.2,0.33333333333333337
