mode,topk,w_prey,w_cat,w_count,prey_count_threshold,threshold,tp,fp,fn,tn,n,precision,recall,f1,objective
max,1,0.8,-0.3,0.0,0.3,0.1,5,4,0,35,44,0.5555555555555556,1.0,0.7142857142857143,4.0
max,1,0.8,-0.3,0.0,0.3,0.12,5,4,0,35,44,0.5555555555555556,1.0,0.7142857142857143,4.0
max,1,0.8,-0.3,0.0,0.3,0.14,4,3,1,36,44,0.5714285714285714,0.8,0.6666666666666666,8.0
max,1,0.8,-0.3,0.0,0.3,0.16,4,2,1,37,44,0.6666666666666666,0.8,0.7272727272727272,7.0
max,1,0.8,-0.3,0.0,0.3,0.18,4,2,1,37,44,0.6666666666666666,0.8,0.7272727272727272,7.0
max,1,0.8,-0.3,0.0,0.3,0.2,4,2,1,37,44,0.6666666666666666,0.8,0.7272727272727272,7.0
max,1,0.8,-0.3,0.0,0.3,0.22,4,2,1,37,44,0.6666666666666666,0.8,0.7272727272727272,7.0
max,1,0.8,-0.3,0.0,0.3,0.24,4,2,1,37,44,0.6666666666666666,0.8,0.7272727272727272,7.0
max,1,0.8,-0.3,0.0,0.3,0.26,4,2,1,37,44,0.6666666666666666,0.8,0.7272727272727272,7.0
max,1,0.8,-0.3,0.0,0.3,0.28,4,2,1,37,44,0.6666666666666666,0.8,0.7272727272727272,7.0
max,1,0.8,-0.3,0.0,0.3,0.3,4,1,1,38,44,0.8,0.8,0.8000000000000002,6.0
max,1,0.8,-0.3,0.0,0.3,0.32,4,1,1,38,44,0.8,0.8,0.8000000000000002,6.0
max,1,0.8,-0.3,0.0,0.3,0.34,4,1,1,38,44,0.8,0.8,0.8000000000000002,6.0
max,1,0.8,-0.3,0.0,0.3,0.36,4,1,1,38,44,0.8,0.8,0.8000000000000002,6.0
max,1,0.8,-0.3,0.0,0.3,0.38,4,1,1,38,44,0.8,0.8,0.8000000000000002,6.0
max,1,0.8,-0.3,0.0,0.3,0.4,3,1,2,38,44,0.75,0.6,0.6666666666666665,11.0
max,1,0.8,-0.3,0.0,0.3,0.42,2,1,3,38,44,0.6666666666666666,0.4,0.5,16.0
max,1,0.8,-0.3,0.0,0.3,0.44,1,1,4,38,44,0.5,0.2,0.28571428571428575,21.0
