mode,topk,w_prey,w_cat,w_count,prey_count_threshold,threshold,tp,fp,fn,tn,n,precision,recall,f1,objective
topk_mean,3,0.8,0.0,0.0,0.3,0.3,5,0,0,39,44,1.0,1.0,1.0,0.0
topk_mean,3,0.8,0.0,0.0,0.5,0.3,5,0,0,39,44,1.0,1.0,1.0,0.0
topk_mean,3,0.8,0.0,0.0,0.7,0.3,5,0,0,39,44,1.0,1.0,1.0,0.0
topk_mean,3,0.8,0.0,0.1,0.3,0.32,5,0,0,39,44,1.0,1.0,1.0,0.0
topk_mean,3,0.8,0.0,0.1,0.3,0.34,5,0,0,39,44,1.0,1.0,1.0,0.0
topk_mean,3,0.8,0.0,0.1,0.5,0.32,5,0,0,39,44,1.0,1.0,1.0,0.0
topk_mean,3,0.8,0.0,0.2,0.3,0.32,5,0,0,39,44,1.0,1.0,1.0,0.0
topk_mean,3,0.8,0.0,0.2,0.3,0.34,5,0,0,39,44,1.0,1.0,1.0,0.0
topk_mean,3,0.8,0.0,0.2,0.3,0.36,5,0,0,39,44,1.0,1.0,1.0,0.0
topk_mean,3,0.8,0.0,0.2,0.5,0.32,5,0,0,39,44,1.0,1.0,1.0,0.0
