epoch,train_loss,val_loss,val_frame_f1,val_burst_f1,val_burst_tp,val_burst_fp,val_burst_fn,lr,secs,backbone_frozen
1,1.4140,1.0152,0.261,0.385,5,15,1,0.001000,6.9,1
2,1.3160,0.8804,0.252,0.417,5,13,1,0.001000,2.2,1
3,1.2492,0.8229,0.291,0.381,4,11,2,0.001000,2.2,1
4,1.0770,0.7947,0.488,0.400,5,14,1,0.001000,2.2,1
5,0.8782,0.7669,0.515,0.455,5,11,1,0.001000,2.2,1
6,0.8567,0.6927,0.556,0.435,5,12,1,0.000099,6.7,0
7,0.6579,0.5944,0.578,0.435,5,12,1,0.000098,5.7,0
8,0.5768,0.5566,0.603,0.435,5,12,1,0.000095,5.6,0
9,0.5871,0.4789,0.686,0.526,5,8,1,0.000090,5.6,0
10,0.5739,0.4336,0.737,0.588,5,6,1,0.000085,5.6,0
11,0.5493,0.4014,0.727,0.556,5,7,1,0.000079,5.6,0
12,0.5182,0.3879,0.737,0.625,5,5,1,0.000073,5.6,0
13,0.4729,0.3661,0.727,0.588,5,6,1,0.000065,5.6,0
14,0.2653,0.3503,0.761,0.714,5,3,1,0.000058,5.7,0
15,0.6791,0.3302,0.758,0.625,5,5,1,0.000050,5.7,0
16,0.6707,0.3097,0.758,0.667,5,4,1,0.000042,5.6,0
17,0.4140,0.3170,0.783,0.714,5,3,1,0.000035,5.7,0
18,0.3045,0.3075,0.758,0.667,5,4,1,0.000027,5.7,0
19,0.2892,0.3047,0.763,0.625,5,5,1,0.000021,5.7,0
20,0.3941,0.3047,0.755,0.588,5,6,1,0.000015,5.7,0
21,0.1848,0.2979,0.763,0.625,5,5,1,0.000010,5.7,0
22,0.2200,0.2914,0.763,0.625,5,5,1,0.000005,5.7,0
23,0.1558,0.2864,0.763,0.625,5,5,1,0.000002,5.7,0
24,0.2129,0.2922,0.763,0.625,5,5,1,0.000001,5.7,0
25,0.2803,0.2889,0.763,0.625,5,5,1,0.000000,5.7,0
