method,threshold,tp,fp,fn,tn,n,precision,recall,f1
prey_max,0.1,26,57,0,326,409,0.3132530120481928,1.0,0.47706422018348627
prey_max,0.15,26,35,0,348,409,0.4262295081967213,1.0,0.5977011494252873
prey_max,0.2,26,28,0,355,409,0.48148148148148145,1.0,0.65
prey_max,0.25,26,23,0,360,409,0.5306122448979592,1.0,0.6933333333333334
prey_max,0.3,26,21,0,362,409,0.5531914893617021,1.0,0.7123287671232876
prey_max,0.35,25,18,1,365,409,0.5813953488372093,0.9615384615384616,0.7246376811594203
prey_max,0.4,25,18,1,365,409,0.5813953488372093,0.9615384615384616,0.7246376811594203
prey_max,0.45,25,14,1,369,409,0.6410256410256411,0.9615384615384616,0.7692307692307693
prey_max,0.5,25,13,1,370,409,0.6578947368421053,0.9615384615384616,0.78125
prey_max,0.55,24,11,2,372,409,0.6857142857142857,0.9230769230769231,0.7868852459016394
prey_max,0.6,24,11,2,372,409,0.6857142857142857,0.9230769230769231,0.7868852459016394
prey_max,0.65,24,9,2,374,409,0.7272727272727273,0.9230769230769231,0.8135593220338984
prey_max,0.7,24,9,2,374,409,0.7272727272727273,0.9230769230769231,0.8135593220338984
prey_max,0.75,24,9,2,374,409,0.7272727272727273,0.9230769230769231,0.8135593220338984
prey_max,0.8,24,8,2,375,409,0.75,0.9230769230769231,0.8275862068965517
prey_max,0.85,24,6,2,377,409,0.8,0.9230769230769231,0.8571428571428571
prey_max,0.9,24,5,2,378,409,0.8275862068965517,0.9230769230769231,0.8727272727272727
prey_max,0.95,24,2,2,381,409,0.9230769230769231,0.9230769230769231,0.9230769230769231
