mode,topk,w_prey,w_cat,w_count,prey_count_threshold,threshold,tp,fp,fn,tn,n,precision,recall,f1,objective
max,1,0.8,-0.3,0.0,0.3,0.1,26,19,0,364,409,0.5777777777777777,1.0,0.732394366197183,19.0
max,1,0.8,-0.3,0.0,0.3,0.12,25,18,1,365,409,0.5813953488372093,0.9615384615384616,0.7246376811594203,23.0
max,1,0.8,-0.3,0.0,0.3,0.14,25,18,1,365,409,0.5813953488372093,0.9615384615384616,0.7246376811594203,23.0
max,1,0.8,-0.3,0.0,0.3,0.16,25,17,1,366,409,0.5952380952380952,0.9615384615384616,0.7352941176470588,22.0
max,1,0.8,-0.3,0.0,0.3,0.18,25,16,1,367,409,0.6097560975609756,0.9615384615384616,0.7462686567164178,21.0
max,1,0.8,-0.3,0.0,0.3,0.2,25,15,1,368,409,0.625,0.9615384615384616,0.7575757575757575,20.0
max,1,0.8,-0.3,0.0,0.3,0.22,25,11,1,372,409,0.6944444444444444,0.9615384615384616,0.8064516129032258,16.0
max,1,0.8,-0.3,0.0,0.3,0.24,24,11,2,372,409,0.6857142857142857,0.9230769230769231,0.7868852459016394,21.0
max,1,0.8,-0.3,0.0,0.3,0.26,24,10,2,373,409,0.7058823529411765,0.9230769230769231,0.8000000000000002,20.0
max,1,0.8,-0.3,0.0,0.3,0.28,24,10,2,373,409,0.7058823529411765,0.9230769230769231,0.8000000000000002,20.0
max,1,0.8,-0.3,0.0,0.3,0.3,24,10,2,373,409,0.7058823529411765,0.9230769230769231,0.8000000000000002,20.0
max,1,0.8,-0.3,0.0,0.3,0.32,24,10,2,373,409,0.7058823529411765,0.9230769230769231,0.8000000000000002,20.0
max,1,0.8,-0.3,0.0,0.3,0.34,24,10,2,373,409,0.7058823529411765,0.9230769230769231,0.8000000000000002,20.0
max,1,0.8,-0.3,0.0,0.3,0.36,24,10,2,373,409,0.7058823529411765,0.9230769230769231,0.8000000000000002,20.0
max,1,0.8,-0.3,0.0,0.3,0.38,24,7,2,376,409,0.7741935483870968,0.9230769230769231,0.8421052631578947,17.0
max,1,0.8,-0.3,0.0,0.3,0.4,24,7,2,376,409,0.7741935483870968,0.9230769230769231,0.8421052631578947,17.0
max,1,0.8,-0.3,0.0,0.3,0.42,24,6,2,377,409,0.8,0.9230769230769231,0.8571428571428571,16.0
max,1,0.8,-0.3,0.0,0.3,0.44,24,6,2,377,409,0.8,0.9230769230769231,0.8571428571428571,16.0
max,1,0.8,-0.3,0.0,0.3,0.46,24,4,2,379,409,0.8571428571428571,0.9230769230769231,0.888888888888889,14.0
max,1,0.8,-0.3,0.0,0.3,0.48,24,3,2,380,409,0.8888888888888888,0.9230769230769231,0.9056603773584906,13.0
max,1,0.8,-0.3,0.0,0.3,0.5,19,1,7,382,409,0.95,0.7307692307692307,0.8260869565217392,36.0
max,1,0.8,-0.3,0.0,0.3,0.52,3,1,23,382,409,0.75,0.11538461538461539,0.19999999999999998,116.0
max,1,0.8,-0.3,0.0,0.3,0.54,2,1,24,382,409,0.6666666666666666,0.07692307692307693,0.13793103448275862,121.0
max,1,0.8,-0.3,0.0,0.3,0.56,2,1,24,382,409,0.6666666666666666,0.07692307692307693,0.13793103448275862,121.0
max,1,0.8,-0.3,0.0,0.3,0.58,2,1,24,382,409,0.6666666666666666,0.07692307692307693,0.13793103448275862,121.0
max,1,0.8,-0.3,0.0,0.3,0.6,2,1,24,382,409,0.6666666666666666,0.07692307692307693,0.13793103448275862,121.0
