mode,topk,w_prey,w_cat,w_count,prey_count_threshold,threshold,tp,fp,fn,tn,n,precision,recall,f1,objective
topk_mean,3,0.8,-0.3,0.2,0.3,0.42,25,0,1,383,409,1.0,0.9615384615384616,0.9803921568627451,5.0
topk_mean,3,0.8,-0.3,0.3,0.3,0.44,25,0,1,383,409,1.0,0.9615384615384616,0.9803921568627451,5.0
topk_mean,3,0.8,-0.3,0.3,0.3,0.46,25,0,1,383,409,1.0,0.9615384615384616,0.9803921568627451,5.0
topk_mean,3,0.8,-0.3,0.3,0.3,0.48,25,0,1,383,409,1.0,0.9615384615384616,0.9803921568627451,5.0
topk_mean,3,0.8,-0.3,0.3,0.3,0.5,25,0,1,383,409,1.0,0.9615384615384616,0.9803921568627451,5.0
topk_mean,3,0.8,-0.3,0.3,0.3,0.52,25,0,1,383,409,1.0,0.9615384615384616,0.9803921568627451,5.0
topk_mean,3,0.8,-0.3,0.4,0.3,0.48,25,0,1,383,409,1.0,0.9615384615384616,0.9803921568627451,5.0
topk_mean,3,0.8,-0.3,0.4,0.3,0.5,25,0,1,383,409,1.0,0.9615384615384616,0.9803921568627451,5.0
topk_mean,3,0.8,-0.3,0.4,0.3,0.52,25,0,1,383,409,1.0,0.9615384615384616,0.9803921568627451,5.0
topk_mean,3,0.8,-0.3,0.4,0.3,0.54,25,0,1,383,409,1.0,0.9615384615384616,0.9803921568627451,5.0
