epoch,train_loss,val_loss,val_frame_f1,val_burst_f1,val_burst_tp,val_burst_fp,val_burst_fn,lr,secs,backbone_frozen
1,1.4023,0.9435,0.118,0.353,3,9,2,0.001000,7.2,1
2,1.5173,0.8390,0.115,0.353,3,9,2,0.001000,1.9,1
3,1.2501,0.8227,0.421,0.333,4,15,1,0.001000,1.9,1
4,1.1310,0.8012,0.480,0.348,4,14,1,0.001000,1.9,1
5,0.8415,0.7765,0.495,0.333,4,15,1,0.001000,1.9,1
6,0.7256,0.6947,0.495,0.364,4,13,1,0.000100,6.6,0
7,0.5759,0.5752,0.565,0.444,4,9,1,0.000098,5.2,0
8,0.5644,0.4658,0.667,0.533,4,6,1,0.000096,5.1,0
9,0.5036,0.4572,0.658,0.533,4,6,1,0.000094,5.1,0
10,0.4499,0.4133,0.667,0.571,4,5,1,0.000090,5.1,0
11,0.3667,0.3937,0.667,0.615,4,4,1,0.000086,5.4,0
12,0.4471,0.3472,0.685,0.615,4,4,1,0.000082,5.1,0
13,0.2772,0.3164,0.694,0.615,4,4,1,0.000077,5.1,0
14,0.2517,0.3034,0.714,0.571,4,5,1,0.000071,5.1,0
15,0.4107,0.3580,0.658,0.625,5,6,0,0.000065,5.0,0
16,0.2243,0.3183,0.675,0.667,5,5,0,0.000059,4.9,0
17,0.1236,0.3126,0.693,0.667,5,5,0,0.000053,5.0,0
18,0.1084,0.2727,0.758,0.667,4,3,1,0.000047,5.0,0
19,0.1011,0.3262,0.685,0.571,4,5,1,0.000041,5.0,0
20,0.1462,0.3144,0.675,0.625,5,6,0,0.000035,5.0,0
21,0.1364,0.2865,0.694,0.533,4,6,1,0.000029,5.0,0
22,0.1857,0.2745,0.694,0.571,4,5,1,0.000023,5.0,0
23,0.0945,0.2720,0.693,0.625,5,6,0,0.000018,5.0,0
24,0.2963,0.2465,0.722,0.714,5,4,0,0.000014,5.0,0
25,0.1174,0.2665,0.722,0.714,5,4,0,0.000010,5.0,0
26,0.0797,0.2366,0.788,0.769,5,3,0,0.000006,5.0,0
27,0.1755,0.2219,0.774,0.727,4,2,1,0.000004,5.0,0
28,0.0849,0.2301,0.765,0.769,5,3,0,0.000002,5.0,0
29,0.1673,0.2563,0.732,0.714,5,4,0,0.000000,5.1,0
30,1.0175,0.2434,0.765,0.769,5,3,0,0.000000,5.0,0
