method,threshold,tp,fp,fn,tn,n,precision,recall,f1
prey_max,0.1,27,59,0,303,389,0.313953488372093,1.0,0.47787610619469023
prey_max,0.15,27,37,0,325,389,0.421875,1.0,0.5934065934065934
prey_max,0.2,27,25,0,337,389,0.5192307692307693,1.0,0.6835443037974684
prey_max,0.25,26,23,1,339,389,0.5306122448979592,0.9629629629629629,0.6842105263157895
prey_max,0.3,26,16,1,346,389,0.6190476190476191,0.9629629629629629,0.7536231884057971
prey_max,0.35,26,15,1,347,389,0.6341463414634146,0.9629629629629629,0.7647058823529412
prey_max,0.4,25,12,2,350,389,0.6756756756756757,0.9259259259259259,0.7812500000000001
prey_max,0.45,25,10,2,352,389,0.7142857142857143,0.9259259259259259,0.8064516129032259
prey_max,0.5,25,10,2,352,389,0.7142857142857143,0.9259259259259259,0.8064516129032259
prey_max,0.55,24,10,3,352,389,0.7058823529411765,0.8888888888888888,0.7868852459016393
prey_max,0.6,24,9,3,353,389,0.7272727272727273,0.8888888888888888,0.7999999999999999
prey_max,0.65,24,9,3,353,389,0.7272727272727273,0.8888888888888888,0.7999999999999999
prey_max,0.7,24,8,3,354,389,0.75,0.8888888888888888,0.8135593220338982
prey_max,0.75,24,5,3,357,389,0.8275862068965517,0.8888888888888888,0.8571428571428572
prey_max,0.8,24,4,3,358,389,0.8571428571428571,0.8888888888888888,0.8727272727272727
prey_max,0.85,24,3,3,359,389,0.8888888888888888,0.8888888888888888,0.8888888888888888
prey_max,0.9,24,1,3,361,389,0.96,0.8888888888888888,0.923076923076923
prey_max,0.95,24,1,3,361,389,0.96,0.8888888888888888,0.923076923076923
