mode,topk,w_prey,w_cat,w_count,prey_count_threshold,threshold,tp,fp,fn,tn,n,precision,recall,f1,objective
topk_mean,3,0.8,-0.1,0.0,0.3,0.14,27,9,0,353,389,0.75,1.0,0.8571428571428571,9.0
topk_mean,3,0.8,-0.1,0.0,0.5,0.14,27,9,0,353,389,0.75,1.0,0.8571428571428571,9.0
topk_mean,3,0.8,-0.1,0.0,0.7,0.14,27,9,0,353,389,0.75,1.0,0.8571428571428571,9.0
topk_mean,3,0.8,-0.1,0.1,0.5,0.14,27,9,0,353,389,0.75,1.0,0.8571428571428571,9.0
topk_mean,3,0.8,-0.1,0.1,0.7,0.14,27,9,0,353,389,0.75,1.0,0.8571428571428571,9.0
topk_mean,3,0.8,-0.1,0.2,0.5,0.14,27,9,0,353,389,0.75,1.0,0.8571428571428571,9.0
topk_mean,3,0.8,-0.1,0.2,0.7,0.14,27,9,0,353,389,0.75,1.0,0.8571428571428571,9.0
topk_mean,3,0.8,-0.1,0.3,0.7,0.14,27,9,0,353,389,0.75,1.0,0.8571428571428571,9.0
topk_mean,3,0.8,-0.1,0.4,0.7,0.14,27,9,0,353,389,0.75,1.0,0.8571428571428571,9.0
topk_mean,3,1.0,-0.2,0.0,0.3,0.14,27,9,0,353,389,0.75,1.0,0.8571428571428571,9.0
