epoch,train_loss,val_loss,val_frame_f1,val_burst_f1,val_burst_tp,val_burst_fp,val_burst_fn,lr,secs,backbone_frozen
1,1.3432,0.9786,0.093,0.286,2,7,3,0.001000,6.3,1
2,1.1837,0.8292,0.103,0.333,2,5,3,0.001000,1.8,1
3,1.2122,0.7781,0.098,0.167,1,6,4,0.001000,1.7,1
4,1.0817,0.7530,0.275,0.353,3,9,2,0.001000,1.7,1
5,0.9596,0.7598,0.400,0.333,3,10,2,0.001000,1.7,1
6,0.8267,0.6348,0.475,0.471,4,8,1,0.000100,6.2,0
7,0.7200,0.5578,0.462,0.471,4,8,1,0.000098,4.8,0
8,0.5687,0.4484,0.492,0.471,4,8,1,0.000096,4.7,0
9,0.4358,0.3316,0.600,0.471,4,8,1,0.000094,4.7,0
10,0.4473,0.2999,0.612,0.533,4,6,1,0.000090,4.7,0
11,0.4697,0.2766,0.600,0.500,4,7,1,0.000086,4.7,0
12,0.2399,0.2480,0.625,0.571,4,5,1,0.000082,4.7,0
13,0.2058,0.2374,0.667,0.667,4,3,1,0.000077,4.7,0
14,0.2015,0.2189,0.667,0.800,4,1,1,0.000071,4.8,0
15,0.1862,0.1875,0.744,0.833,5,2,0,0.000065,4.7,0
16,0.1054,0.1873,0.727,0.769,5,3,0,0.000059,4.6,0
17,0.0791,0.1799,0.732,0.909,5,1,0,0.000053,4.6,0
18,0.2527,0.1885,0.683,0.800,4,1,1,0.000047,4.6,0
19,0.2245,0.1950,0.714,0.800,4,1,1,0.000041,4.7,0
20,0.1298,0.2106,0.698,0.727,4,2,1,0.000035,4.7,0
21,0.0790,0.1941,0.714,0.800,4,1,1,0.000029,4.6,0
22,0.0534,0.1802,0.744,0.909,5,1,0,0.000023,4.6,0
23,0.0892,0.1828,0.727,0.833,5,2,0,0.000018,4.7,0
24,0.0763,0.1875,0.744,0.909,5,1,0,0.000014,4.7,0
25,0.0890,0.1819,0.744,0.909,5,1,0,0.000010,4.7,0
26,0.1704,0.1764,0.744,0.909,5,1,0,0.000006,4.6,0
27,0.0606,0.1717,0.744,0.909,5,1,0,0.000004,4.6,0
28,0.0926,0.1792,0.744,0.909,5,1,0,0.000002,4.7,0
29,0.0593,0.1726,0.744,0.909,5,1,0,0.000000,4.7,0
30,0.3087,0.1796,0.762,0.909,5,1,0,0.000000,4.7,0
